,Name,Metaphor,Link
104,The AES Corporation,AES,https://www.tradingview.com/symbols/NYSE-AES/
105,Atlas Energy Solutions Inc.,AESI,https://www.tradingview.com/symbols/NYSE-AESI/
106,"Aeva Technologies, Inc.",AEVA,https://www.tradingview.com/symbols/NYSE-AEVA/
107,"AudioEye, Inc.",AEYE,https://www.tradingview.com/symbols/NASDAQ-AEYE/
108,Aura FAT Projects Acquisition Corp,AFAR,https://www.tradingview.com/symbols/NASDAQ-AFAR/
109,"Affinity Bancshares, Inc.",AFBI,https://www.tradingview.com/symbols/NASDAQ-AFBI/
110,"American Financial Group, Inc.",AFG,https://www.tradingview.com/symbols/NYSE-AFG/
111,"Acutus Medical, Inc.",AFIB,https://www.tradingview.com/symbols/NASDAQ-AFIB/
112,"Aimei Health Technology Co., Ltd",AFJK,https://www.tradingview.com/symbols/NASDAQ-AFJK/
113,AFLAC Incorporated,AFL,https://www.tradingview.com/symbols/NYSE-AFL/
114,Affimed N.V.,AFMD,https://www.tradingview.com/symbols/NASDAQ-AFMD/
115,Forafric Global PLC,AFRI,https://www.tradingview.com/symbols/NASDAQ-AFRI/
116,"Affirm Holdings, Inc.",AFRM,https://www.tradingview.com/symbols/NASDAQ-AFRM/
117,Afya Limited,AFYA,https://www.tradingview.com/symbols/NASDAQ-AFYA/
118,Allied Gaming & Entertainment Inc.,AGAE,https://www.tradingview.com/symbols/NASDAQ-AGAE/
119,AGBA Group Holding Limited,AGBA,https://www.tradingview.com/symbols/NASDAQ-AGBA/
120,AGCO Corporation,AGCO,https://www.tradingview.com/symbols/NYSE-AGCO/
121,Agenus Inc.,AGEN,https://www.tradingview.com/symbols/NASDAQ-AGEN/
122,Agrify Corporation,AGFY,https://www.tradingview.com/symbols/NASDAQ-AGFY/
123,"Agios Pharmaceuticals, Inc.",AGIO,https://www.tradingview.com/symbols/NASDAQ-AGIO/
124,"agilon health, inc.",AGL,https://www.tradingview.com/symbols/NYSE-AGL/
125,Federal Agricultural Mortgage Corporation,AGM,https://www.tradingview.com/symbols/NYSE-AGM/
126,AGM Group Holdings Inc.,AGMH,https://www.tradingview.com/symbols/NASDAQ-AGMH/
127,Assured Guaranty Ltd.,AGO,https://www.tradingview.com/symbols/NYSE-AGO/
128,"Avangrid, Inc.",AGR,https://www.tradingview.com/symbols/NYSE-AGR/
129,AgriFORCE Growing Systems Ltd.,AGRI,https://www.tradingview.com/symbols/NASDAQ-AGRI/
130,Adecoagro S.A.,AGRO,https://www.tradingview.com/symbols/NYSE-AGRO/
